五星,1.0,85
样样,0.987012987012987,154
哥哥,0.9701492537313433,201
氛围,0.9512195121951219,82
阿姨,0.9451219512195121,164
服务态度,0.9404958677685951,605
小姐姐,0.9365482233502538,394
小哥,0.9361702127659575,94
食材,0.933,1000
虾,0.9244644870349493,887
卫生,0.9242424242424242,132
搭配,0.9122807017543859,114
整体感觉,0.9047619047619048,126
油条,0.902542372881356,236
生意,0.9024390243902439,287
服务,0.8964560204953032,4684
汤,0.896,1000
水果,0.89,200
品质,0.8674351585014409,347
孩子,0.8666666666666667,90
热情,0.8646153846153846,325
球菌,0.8613445378151261,238
整体,0.8470588235294118,340
菜品,0.8468992248062015,1548
饮品,0.8333333333333334,90
总体,0.8311195445920304,527
评价,0.8297872340425532,94
香味,0.8163265306122449,98
环境,0.8159824046920822,2728
上海,0.8136645962732919,161
汁水,0.8,85
天气,0.7931034482758621,116
血,0.7903225806451613,434
店员,0.7888888888888889,90
质量,0.7846153846153846,130
巴奴,0.7830508474576271,295
套餐,0.7816901408450704,142
颜值,0.7730496453900709,141
做的,0.7729257641921398,229
态度,0.772093023255814,430
新鲜,0.772,500
服务员,0.7702182284980744,779
风格,0.7668711656441718,163
料,0.7619047619047619,189
味道,0.7610279239174423,4942
汤圆,0.7584269662921348,178
冰粉,0.7578947368421053,285
土豆丝,0.7577319587628866,194
贼,0.7530864197530864,81
人员,0.75,84
速度,0.748,250
毛肚,0.7424802110817942,1895
火锅,0.7406417112299465,374
辣,0.7329545454545454,176
肉质,0.7325581395348837,344
饮料,0.7315789473684211,190
过度,0.7311827956989247,93
特色,0.7297297297297297,185
口感,0.7293187347931873,1644
豆腐,0.7288135593220338,118
牛蛙,0.7241379310344828,145
海鲜,0.7232704402515723,159
辣度,0.7169811320754716,106
蒸虾,0.711340206185567,97
个头,0.7112068965517241,232
入口,0.7093023255813954,86
蔬菜,0.7073170731707317,82
调味,0.7037037037037037,108
分量,0.7022222222222222,450
店里,0.6986301369863014,146
锅底,0.6944444444444444,432
小料,0.6940298507462687,134
牛肉,0.6816074188562596,647
小伙伴,0.68,100
口味,0.6600181323662738,1103
龙虾,0.6585365853658537,82
小龙虾,0.652542372881356,118
餐厅,0.6504854368932039,103
咖啡,0.6468253968253969,252
锅,0.6438356164383562,146
酱,0.6351351351351351,148
辣锅,0.6311475409836066,122
看着,0.6084656084656085,189
月饼,0.6056338028169014,142
份量,0.6048109965635738,291
拍照,0.5925925925925926,81
汉堡,0.5885416666666666,384
上菜,0.5880149812734082,267
蛋,0.5851063829787234,94
凉面,0.5841584158415841,101
吃起来,0.5836177474402731,293
菜,0.5798969072164949,776
面包,0.5779816513761468,109
鸡,0.576,125
菜量,0.5686274509803921,255
面,0.5608108108108109,148
东西,0.5591397849462365,186
辣子鸡,0.5570175438596491,228
看起来,0.5543478260869565,92
饭,0.5517241379310345,87
店,0.5498938428874734,471
店面,0.5476190476190477,168
肉,0.5460750853242321,586
蛋糕,0.5402298850574713,87
空间,0.5364238410596026,151
糍粑,0.5208333333333334,96
薯条,0.5082872928176796,362
奶昔,0.5075187969924813,266
位置,0.5,284
火锅店,0.5,92
体验,0.49809885931558934,263
量,0.487698986975398,691
鸡肉,0.43703703703703706,135
地方,0.4306569343065693,137
感觉,0.4253731343283582,1340
甜品,0.3950617283950617,81
品种,0.3855421686746988,83
性价比,0.3248730964467005,985
种类,0.3082706766917293,133
座位,0.2857142857142857,126
觉得,0.27376861397479957,873
味,0.2597402597402597,154
皮,0.2268041237113402,97
小时,0.21904761904761905,105
时间,0.21184510250569477,439
排队,0.19612903225806452,775
等位,0.11057692307692307,208
桌子,-0.020202020202020204,99
空调,-0.02702702702702703,37
价格,-0.030214424951267055,1026
光线,-0.047619047619047616,21
桌面,-0.0625,16
面粉,-0.06666666666666667,15
骨头,-0.06666666666666667,15
过号,-0.07692307692307693,13
慕名,-0.09090909090909091,11
名气,-0.09090909090909091,11
声音,-0.1,20
辣子鸡丁,-0.125,8
饭量,-0.125,8
菜心,-0.125,8
茼蒿,-0.14285714285714285,7
表面,-0.14285714285714285,7
手脚,-0.14285714285714285,7
心心念念,-0.14285714285714285,14
嘴巴,-0.14285714285714285,14
大堂,-0.16666666666666666,6
酒水,-0.16666666666666666,6
等待时间,-0.17647058823529413,17
胃,-0.18518518518518517,27
单价,-0.2,15
蒜味,-0.2222222222222222,18
上脑,-0.25,8
工序,-0.25,8
肚子,-0.25,24
螺丝,-0.25,8
季节,-0.26666666666666666,15
成本,-0.2857142857142857,7
太少,-0.2857142857142857,7
色拉,-0.2857142857142857,7
系统,-0.3,10
洋葱,-0.3,10
度数,-0.3076923076923077,13
壳,-0.32,25
情商,-0.3333333333333333,9
停车费,-0.3333333333333333,6
买点,-0.3333333333333333,6
火,-0.3333333333333333,33
期望,-0.3469387755102041,49
太长,-0.36363636363636365,11
海胆,-0.36363636363636365,11
门,-0.4,10
表皮,-0.42857142857142855,7
炸,-0.42857142857142855,7
肠胃,-0.42857142857142855,14
外壳,-0.5,8
柴,-0.5,10
花生,-0.5050505050505051,99
点点,-0.5151515151515151,33
麻麻,-0.52,25
人手,-0.55,20
期待值,-0.5714285714285714,14
数量,-0.6,10
椅子,-0.6363636363636364,11
差点,-0.6666666666666666,9
网,-0.6666666666666666,6
期望值,-0.7058823529411765,17
种草,-0.7804878048780488,82
缺点,-0.8571428571428571,14
酸酸,-0.9047619047619048,21
小心,-0.9130434782608695,23
牙口,-0.9310344827586207,29
